"","group","subjID","time","retention"
1,1,1,0,100
2,1,1,3,102
3,1,1,4,87
4,1,1,10,89
5,1,1,15,57
6,1,1,20,48
7,1,1,25,43
8,1,1,30,33
9,1,2,0,100
10,1,2,3,95
11,1,2,4,91
12,1,2,10,62
13,1,2,15,52
14,1,2,20,55
15,1,2,25,45
16,1,2,30,42
17,1,3,0,100
18,1,3,3,112
19,1,3,4,72
20,1,3,10,63
21,1,3,15,49
22,1,3,20,45
23,1,3,25,29
24,1,3,30,36
25,1,4,0,100
26,1,4,3,110
27,1,4,4,129
28,1,4,10,71
29,1,4,15,57
30,1,4,20,NA
31,1,4,25,29
32,1,4,30,32
33,2,5,0,100
34,2,5,3,136
35,2,5,4,84
36,2,5,10,84
37,2,5,15,85
38,2,5,20,64
39,2,5,25,59
40,2,5,30,57
41,2,6,0,100
42,2,6,3,110
43,2,6,4,109
44,2,6,10,83
45,2,6,15,66
46,2,6,20,64
47,2,6,25,64
48,2,6,30,53
49,2,7,0,100
50,2,7,3,93
51,2,7,4,76
52,2,7,10,77
53,2,7,15,62
54,2,7,20,60
55,2,7,25,54
56,2,7,30,53
57,2,8,0,100
58,2,8,3,111
59,2,8,4,121
60,2,8,10,85
61,2,8,15,68
62,2,8,20,57
63,2,8,25,NA
64,2,8,30,NA
