"","V1","V2","V3","V4","V5"
"1",1,2.2,5.5,2.4,4.3
"2",2,2.2,4.5,2.4,4.6
"3",3,2.3,5.1,2.4,4.7
"4",4,2,5.5,2.2,4.1
"5",5,1.6,5.7,2.1,4.1
"6",6,1.4,5.1,1.5,5.2
"7",7,1.8,4.3,2.3,5
"8",8,2.2,4.8,2.3,4.4
"9",9,2.9,5.6,2.5,4.2
"10",10,2.6,5.9,2,5.1
"11",11,2.4,6,1.9,5.1
"12",12,2.1,5.1,1.7,4.7
"13",13,3,5.2,2.2,4.4
"14",14,2.5,4.4,1.8,3.9
"15",15,2.7,5.5,3.2,5.4
"16",16,2.2,5.4,3.2,5.9
"17",17,2.4,4.1,2.7,4.2
"18",18,2.7,4.4,2.2,4.1
"19",19,3.1,4.7,2.2,4.1
"20",20,2.5,4.6,1.9,3.6
"21",21,2.4,6,1.9,3.1
"22",22,2.3,5.6,1.8,4.8
"23",23,2.4,5.1,2.7,5.1
"24",24,1.9,4.7,3,5.1
"25",25,3.3,4.8,2.3,4.5
"26",26,3.8,5.5,2,4.6
"27",27,3.7,5.1,2,5.8
"28",28,3.5,5.2,2.9,5
"29",29,3.1,5,2.9,5.1
"30",30,2.7,4,2.7,4.5
"31",31,4.1,3.7,2.7,4.2
"32",32,4,4.8,2.3,6
"33",33,3.4,5.9,2.6,5.6
"34",34,3.2,5.5,2.4,5.4
"35",35,3.7,4.9,1.8,5
"36",36,3.6,4.4,1.7,4.4
"37",37,4.1,4.7,1.5,4.6
"38",38,2,4.2,1.4,5.7
"39",39,4.6,5.5,2.1,5.2
"40",40,4.1,4.9,3.3,5
"41",41,3.2,4.8,3.5,4.4
"42",42,2.9,4.5,3.5,5.7
"43",43,2.7,4.9,3.1,5.7
"44",44,3,4.9,2.6,4.8
"45",45,0,4.5,2.1,3.4
"46",46,0,4.2,3.4,5.5
"47",47,0,4.9,3,5.5
"48",48,0,5.9,2.9,5.6
